Barcode,Call Number,ID,Lname,Fname,LName2,FName2,TheRest,Author/Editor,Title,Volume/Edition,Holding,Sort1,Sort2,DO NOT INCLUDE,DECIMAL CHECK,Don't Include,Sort3,Nope,Sort4,Sort5,Sort6,Sort7,Sort8,Sort9,Sort10,Sort11,Sort12,Sort13,Sort14,Processing Notes,APA Citation,Chicago Citation,Date of Entry,Notes,Column1,Column2
L0112033477,AM 5 .K68 2008,7481,,,,,,"Kotler, Neil G. | Kotler, Philip | Kotler | Wendy I.",Museum marketing and strategy : designing missions building audiences generating revenue and resources,Second Edition,AM 5 .K68 2008,AM,5,.K68,FALSE,.K68,.K,#NAME?,68,#NAME?,2008,,,,,,,,,,,,,,,
L0112033485,AM 7 C37 2005,7364,,,,,,"Dubberly, Sara",Careers in Museums: a Variety of Vocations,,AM 7 C37 2005,AM,7,C37,TRUE,.C37,.C,#NAME?,37,#NAME?,2005,,,,,,,,,Not in voyager as of 10/31/2016,,,,,,
L0112033493,AM 7 C59 2006,6321,,,,,,"Macdonald, Sharon",A Companion to Museum Studies,,AM 7 C59 2006,AM,7,C59,TRUE,.C59,.C,#NAME?,59,#NAME?,2006,,,,,,,,,,,,,,,
L0112033501,AM 121 F545 2006,7433,Heritage Preservation,,,,,,Field Guide to Emergency Response,,AM 121 F545 2006,AM,121,F545,TRUE,.F545,.F,#NAME?,545,#NAME?,2006,,,,,,,,,,Field Guide to Emergency Response. (2006). Heritage Preservation.,Field Guide to Emergency Response. 2006. Heritage Preservation.,11/5/2018,,,
L0112033519,AM 127 H97 1991,25,,,,,,"Bearman, David",Hypermedia & interactivity in museums proceedings,,AM 127 H97 1991,AM,127,H97,TRUE,.H97,.H,#NAME?,97,#NAME?,1991,,,,,,,,,,,,,,,
L0112033527,AM 127 M985 1993,26,,,,,,"Lees, Diane",Museums and Interactive Multimedia     ICHIM '93,,AM 127 M985 1993,AM,127,M985,TRUE,.M985,.M,#NAME?,985,#NAME?,1993,,,,,,,,,,,,,,,
L0112033535,AM 133 M38 2017,7434,Matassa,Freda,,,,,"Valuing Your Collection: A Practical Guide for Museums, Libraries and Archives",,AM 133 M38 2017,AM,133,M38,TRUE,.M38,.M,#NAME?,38,#NAME?,2017,,,,,,,,,,"Matassa, F. (2017). Valuing Your Collection: A practical guide for museums, libraries, and archives. London: Facet Publishing.","Matassa, Freda. 2017. Valuing Your Collection: A Practical Guide for Museums, Libraries, and Archives. London: Facet Publishing.",11/5/2018,,,
L0112033543,AM 139 C41m,7253,,,,,,"Chenhall, Robert G.",Museum Cataloging in the Computer Age,,AM 139 C41m,AM,139,C41m,TRUE,.C41m,.C,#NAME?,41,#NAME?,,,,,,,,,,,,,,,,
L0112033550,AM 139 C42n,28,,,,,,"Chenhall, Robert G.",Nomenclature for museum cataloging: a system for c,,AM 139 C42n,AM,139,C42n,TRUE,.C42n,.C,#NAME?,42,#NAME?,,,,,,,,,,,,,,,,
L0112033568,AM 139 D8 2010,7358,,,,,,"Buck, Rebecca A.| Gilmore, Jean Allman",MRM5: Museum Registration Methods,5th edition,AM 139 D8 2010,AM,139,D8,TRUE,.D8,.D,#NAME?,8,#NAME?,2010,,,,,,,,,Not in voyager as of 10/31/2016,,,,,,
